PersonNumber;SpeakerFullName;Gender;Rat;Partei;Fraktion;PMCount;TotalDuration;TotalWords;TotalSessions;TotalTranscripts
4025;Büchel Roland Rino;m;Nationalrat;Schweizerische Volkspartei;Fraktion der Schweizerischen Volkspartei;0;7453;18383;15;80
4040;Schneider-Schneiter Elisabeth;f;Nationalrat;Christlichdemokratische Volkspartei der Schweiz;CVP-Fraktion;0;7002;14703;12;56
3830;Carobbio Guscetti Marina;f;Nationalrat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;0;46264;111057;15;463
4097;Müller Leo;m;Nationalrat;Christlichdemokratische Volkspartei der Schweiz;CVP-Fraktion;0;31473;58947;15;142
3895;Lüscher Christian;m;Nationalrat;FDP.Die Liberalen;FDP-Liberale Fraktion;0;15433;41767;14;72
1318;Schelbert Louis;m;Nationalrat;Grüne Partei der Schweiz;Grüne Fraktion;0;23123;45475;12;117
4032;Jans Beat;m;Nationalrat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;0;26544;56789;15;163
512;Sommaruga Simonetta;f;Bundesrat;Sozialdemokratische Partei der Schweiz;;54;214469;501492;15;1094
4182;Béglé Claude;m;Nationalrat;Christlichdemokratische Volkspartei der Schweiz;CVP-Fraktion;0;20101;55055;14;99
1120;Sommaruga Carlo;m;Nationalrat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;0;22215;59810;15;161
801;Abate Fabio;m;Ständerat;FDP.Die Liberalen;FDP-Liberale Fraktion;0;25290;51723;14;167
4116;Gössi Petra;f;Nationalrat;FDP.Die Liberalen;FDP-Liberale Fraktion;0;6295;13111;11;32
4141;Portmann Hans-Peter;m;Nationalrat;FDP.Die Liberalen;FDP-Liberale Fraktion;0;10832;23545;15;96
4140;Merlini Giovanni;m;Nationalrat;FDP.Die Liberalen;FDP-Liberale Fraktion;0;13737;29152;11;50
3891;Jositsch Daniel;m;Ständerat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;0;22559;47593;12;68
3920;Seydoux-Christe Anne;f;Ständerat;Christlichdemokratische Volkspartei der Schweiz;CVP-Fraktion;0;14293;37197;12;72
173;Reimann Maximilian;m;Nationalrat;Schweizerische Volkspartei;Fraktion der Schweizerischen Volkspartei;0;5946;10946;14;57
305;Berberat Didier;m;Ständerat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;0;23427;68458;13;123
1148;Savary Géraldine;f;Ständerat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;0;22973;54906;13;82
4077;Feller Olivier;m;Nationalrat;FDP.Die Liberalen;FDP-Liberale Fraktion;0;25545;60755;15;122
3879;Français Olivier;m;Ständerat;FDP.Die Liberalen;FDP-Liberale Fraktion;0;27364;84764;11;131
4152;Wicki Hans;m;Ständerat;FDP.Die Liberalen;FDP-Liberale Fraktion;0;14338;30680;12;60
508;Schneider-Ammann Johann N.;m;Bundesrat;FDP.Die Liberalen;;0;114011;208685;14;642
4145;Hösli Werner;m;Ständerat;Schweizerische Volkspartei;Fraktion der Schweizerischen Volkspartei;0;33695;66806;13;113
1106;Häberli-Koller Brigitte;f;Ständerat;Christlichdemokratische Volkspartei der Schweiz;CVP-Fraktion;0;22467;43611;13;116
4137;Golay Roger;m;Nationalrat;Mouvement Citoyens Genevois;Fraktion der Schweizerischen Volkspartei;0;8342;22243;12;43
3918;Luginbühl Werner;m;Ständerat;Bürgerlich-Demokratische Partei Schweiz;Fraktion BD;0;28535;57605;13;157
1153;Noser Ruedi;m;Ständerat;FDP.Die Liberalen;FDP-Liberale Fraktion;0;30586;79595;13;137
4168;Nicolet Jacques;m;Nationalrat;Schweizerische Volkspartei;Fraktion der Schweizerischen Volkspartei;0;3204;8364;13;31
4093;Glättli Balthasar;m;Nationalrat;Grüne Partei der Schweiz;Grüne Fraktion;0;38716;78391;15;214
4074;Fridez Pierre-Alain;m;Nationalrat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;0;12557;35315;15;83
3872;Bourgeois Jacques;m;Nationalrat;FDP.Die Liberalen;FDP-Liberale Fraktion;0;10742;30271;15;67
4193;Nantermod Philippe;m;Nationalrat;FDP.Die Liberalen;FDP-Liberale Fraktion;0;11470;34929;13;67
4187;Bauer Philippe;m;Nationalrat;FDP.Die Liberalen;FDP-Liberale Fraktion;0;20826;49276;14;99
4186;Mazzone Lisa;f;Nationalrat;Grüne Partei der Schweiz;Grüne Fraktion;0;34601;99980;15;183
4110;Egloff Hans;m;Nationalrat;Schweizerische Volkspartei;Fraktion der Schweizerischen Volkspartei;0;8787;14805;14;56
4167;Martullo-Blocher Magdalena;f;Nationalrat;Schweizerische Volkspartei;Fraktion der Schweizerischen Volkspartei;0;5551;10978;11;85
4053;Aeschi Thomas;m;Nationalrat;Schweizerische Volkspartei;Fraktion der Schweizerischen Volkspartei;0;20626;47888;15;197
1131;Allemann Evi;f;Nationalrat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;0;5348;12038;13;35
4060;Schneeberger Daniela;f;Nationalrat;FDP.Die Liberalen;FDP-Liberale Fraktion;0;8545;19822;13;58
4160;Dettling Marcel;m;Nationalrat;Schweizerische Volkspartei;Fraktion der Schweizerischen Volkspartei;0;5182;11414;12;31
4199;Seiler Graf Priska;f;Nationalrat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;0;5914;12843;13;39
3867;Aebi Andreas;m;Nationalrat;Schweizerische Volkspartei;Fraktion der Schweizerischen Volkspartei;0;4311;9539;14;45
1147;Kiener Nellen Margret;f;Nationalrat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;0;18827;31145;14;115
4173;Sollberger Sandra;f;Nationalrat;Schweizerische Volkspartei;Fraktion der Schweizerischen Volkspartei;0;4974;10475;13;43
4209;Bigler Hans-Ulrich;m;Nationalrat;FDP.Die Liberalen;FDP-Liberale Fraktion;0;17001;32468;15;104
4087;Gschwind Jean-Paul;m;Nationalrat;Christlichdemokratische Volkspartei der Schweiz;CVP-Fraktion;0;16417;45782;13;65
1156;Heim Bea;f;Nationalrat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;0;19173;38508;14;101
4045;Pardini Corrado;m;Nationalrat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;0;26002;44772;15;131
4154;Addor Jean-Luc;m;Nationalrat;Schweizerische Volkspartei;Fraktion der Schweizerischen Volkspartei;0;12621;30106;14;84
4184;Arslan Sibel;f;Nationalrat;Grüne (Basels starke Alternative);Grüne Fraktion;0;19871;39396;13;115
4051;de Courten Thomas;m;Nationalrat;Schweizerische Volkspartei;Fraktion der Schweizerischen Volkspartei;0;14039;31579;13;91
4179;Zuberbühler David;m;Nationalrat;Schweizerische Volkspartei;Fraktion der Schweizerischen Volkspartei;0;4732;9604;11;22
1295;Graf-Litscher Edith;f;Nationalrat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;0;9254;17488;13;50
307;Brunner Toni;m;Nationalrat;Schweizerische Volkspartei;Fraktion der Schweizerischen Volkspartei;0;8259;17140;13;45
3875;Eichenberger-Walther Corina;f;Nationalrat;FDP.Die Liberalen;FDP-Liberale Fraktion;0;3908;6558;9;14
3890;Hurter Thomas;m;Nationalrat;Schweizerische Volkspartei;Fraktion der Schweizerischen Volkspartei;0;8656;20675;13;56
4180;Ammann Thomas;m;Nationalrat;Christlichdemokratische Volkspartei der Schweiz;CVP-Fraktion;0;4363;9211;8;22
3882;Girod Bastien;m;Nationalrat;Grüne Partei der Schweiz;Grüne Fraktion;0;11457;27913;12;87
4120;Romano Marco;m;Nationalrat;Christlichdemokratische Volkspartei der Schweiz;CVP-Fraktion;0;16939;37364;13;74
3907;Thorens Goumaz Adèle;f;Nationalrat;Grüne Partei der Schweiz;Grüne Fraktion;0;11933;33150;14;50
4161;Glarner Andreas;m;Nationalrat;Schweizerische Volkspartei;Fraktion der Schweizerischen Volkspartei;0;6064;14621;12;76
3912;Wasserfallen Christian;m;Nationalrat;FDP.Die Liberalen;FDP-Liberale Fraktion;0;20826;50055;15;143
1139;Markwalder Christa;f;Nationalrat;FDP.Die Liberalen;FDP-Liberale Fraktion;0;69498;167093;13;1021
4163;Hess Erich;m;Nationalrat;Schweizerische Volkspartei;Fraktion der Schweizerischen Volkspartei;0;1928;3342;12;30
1137;Müller Walter;m;Nationalrat;FDP.Die Liberalen;FDP-Liberale Fraktion;0;15029;30048;15;90
