PersonNumber;SpeakerFullName;Gender;Rat;Partei;Fraktion;PMCount;TotalDuration;TotalWords;TotalSessions;TotalTranscripts
1125;Galladé Chantal;f;Nationalrat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;0;5008;11528;10;41
4046;Quadri Lorenzo;m;Nationalrat;Lega dei Ticinesi;Fraktion der Schweizerischen Volkspartei;0;4727;10697;9;20
4206;Ettlin Erich;m;Ständerat;Christlichdemokratische Volkspartei der Schweiz;CVP-Fraktion;0;17482;43992;13;69
4176;Vogt Hans-Ueli;m;Nationalrat;Schweizerische Volkspartei;Fraktion der Schweizerischen Volkspartei;0;8371;18565;14;72
1071;Humbel Ruth;f;Nationalrat;Christlichdemokratische Volkspartei der Schweiz;CVP-Fraktion;0;26830;53233;14;119
3876;Estermann Yvette;f;Nationalrat;Schweizerische Volkspartei;Fraktion der Schweizerischen Volkspartei;0;4202;8507;10;39
3904;Schmid-Federer Barbara;f;Nationalrat;Christlichdemokratische Volkspartei der Schweiz;CVP-Fraktion;0;11042;24884;11;53
4202;Sauter Regine;f;Nationalrat;FDP.Die Liberalen;FDP-Liberale Fraktion;0;8183;17947;12;55
4094;Hess Lorenz;m;Nationalrat;Bürgerlich-Demokratische Partei Schweiz;Fraktion BD;0;14409;31467;13;70
3877;Fiala Doris;f;Nationalrat;FDP.Die Liberalen;FDP-Liberale Fraktion;0;6341;12301;11;41
1104;Büchler Jakob;m;Nationalrat;Christlichdemokratische Volkspartei der Schweiz;CVP-Fraktion;0;5987;11397;11;38
3901;Reimann Lukas;m;Nationalrat;Schweizerische Volkspartei;Fraktion der Schweizerischen Volkspartei;0;12657;29303;13;84
4069;Feri Yvonne;f;Nationalrat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;0;8674;18856;15;52
4142;Walti Beat;m;Nationalrat;FDP.Die Liberalen;FDP-Liberale Fraktion;0;19708;38200;14;81
1279;Nordmann Roger;m;Nationalrat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;0;11448;31316;14;84
1337;Glanzmann-Hunkeler Ida;f;Nationalrat;Christlichdemokratische Volkspartei der Schweiz;CVP-Fraktion;0;8520;17665;12;37
1109;Pfister Gerhard;m;Nationalrat;Christlichdemokratische Volkspartei der Schweiz;CVP-Fraktion;0;5999;14519;15;51
1138;Bäumle Martin;m;Nationalrat;Grünliberale Partei;Grünliberale Fraktion;0;17552;45825;13;88
4144;Matter Thomas;m;Nationalrat;Schweizerische Volkspartei;Fraktion der Schweizerischen Volkspartei;0;9937;17590;14;98
3899;Nussbaumer Eric;m;Nationalrat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;0;11242;24941;14;79
4172;Salzmann Werner;m;Nationalrat;Schweizerische Volkspartei;Fraktion der Schweizerischen Volkspartei;0;9047;20200;13;92
4216;Gutjahr Diana;f;Nationalrat;Schweizerische Volkspartei;Fraktion der Schweizerischen Volkspartei;0;719;1625;4;8
4079;Derder Fathi;m;Nationalrat;FDP.Die Liberalen;FDP-Liberale Fraktion;0;7681;24555;13;51
1129;Schenker Silvia;f;Nationalrat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;0;9046;18848;13;53
4143;Ruiz Rebecca Ana;f;Nationalrat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;0;12429;38099;13;53
4118;Lohr Christian;m;Nationalrat;Christlichdemokratische Volkspartei der Schweiz;CVP-Fraktion;0;8110;13998;12;30
4219;Crottaz Brigitte;f;Nationalrat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;0;1740;5536;3;7
4155;Arnold Beat;m;Nationalrat;Schweizerische Volkspartei;Fraktion der Schweizerischen Volkspartei;0;1948;3847;7;15
4200;Campell Duri;m;Nationalrat;Bürgerlich-Demokratische Partei Schweiz;Fraktion BD;0;4097;7239;11;28
4177;Walliser Bruno;m;Nationalrat;Schweizerische Volkspartei;Fraktion der Schweizerischen Volkspartei;0;1485;2869;7;12
4124;Schilliger Peter;m;Nationalrat;FDP.Die Liberalen;FDP-Liberale Fraktion;0;9745;19570;13;65
1142;Wobmann Walter;m;Nationalrat;Schweizerische Volkspartei;Fraktion der Schweizerischen Volkspartei;0;4132;6795;9;35
3828;Cassis Ignazio;m;Bundesrat;FDP.Die Liberalen;;0;26728;53154;13;155
3880;Geissbühler Andrea Martina;f;Nationalrat;Schweizerische Volkspartei;Fraktion der Schweizerischen Volkspartei;0;3404;7078;11;30
4065;Pieren Nadja;f;Nationalrat;Schweizerische Volkspartei;Fraktion der Schweizerischen Volkspartei;0;3199;6891;11;32
4101;Bulliard-Marbach Christine;f;Nationalrat;Christlichdemokratische Volkspartei der Schweiz;CVP-Fraktion;0;9719;19784;14;42
4130;Masshardt Nadine;f;Nationalrat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;0;3385;7672;10;23
4109;Piller Carrard Valérie;f;Nationalrat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;0;9318;24054;13;50
4166;Köppel Roger;m;Nationalrat;Schweizerische Volkspartei;Fraktion der Schweizerischen Volkspartei;0;6246;11965;11;57
4113;Tornare Manuel;m;Nationalrat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;0;6276;16418;11;33
4159;Chiesa Marco;m;Nationalrat;Schweizerische Volkspartei;Fraktion der Schweizerischen Volkspartei;0;1639;4182;8;12
4222;Paganini Nicolo;m;Nationalrat;Christlichdemokratische Volkspartei der Schweiz;CVP-Fraktion;0;2533;4642;3;11
1345;Müller Thomas;m;Nationalrat;Schweizerische Volkspartei;Fraktion der Schweizerischen Volkspartei;0;8423;15343;14;53
4042;Frehner Sebastian;m;Nationalrat;Schweizerische Volkspartei;Fraktion der Schweizerischen Volkspartei;0;10327;20937;12;78
4114;Knecht Hansjörg;m;Nationalrat;Schweizerische Volkspartei;Fraktion der Schweizerischen Volkspartei;0;7294;14229;12;39
4221;Töngi Michael;m;Nationalrat;Grüne Partei der Schweiz;Grüne Fraktion;0;2605;5966;3;19
4073;Pantani Roberta;f;Nationalrat;Lega dei Ticinesi;Fraktion der Schweizerischen Volkspartei;0;4278;9562;10;19
4223;Molina Fabian;m;Nationalrat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;0;1222;2495;3;20
4194;Wehrli Laurent;m;Nationalrat;FDP.Die Liberalen;FDP-Liberale Fraktion;0;5171;14734;11;30
4215;Brunner Hansjörg;m;Nationalrat;FDP.Die Liberalen;FDP-Liberale Fraktion;0;808;1736;2;5
4057;Wermuth Cédric;m;Nationalrat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;0;10441;25623;12;89
4226;Wüthrich Adrian;m;Nationalrat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;0;524;1288;2;6
4128;Trede Aline;f;Nationalrat;Grüne Partei der Schweiz;Grüne Fraktion;0;1699;3983;3;14
4197;Marti Min Li;f;Nationalrat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;0;3055;6419;9;24
4224;Wasserfallen Flavia;f;Nationalrat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;0;1500;2908;2;11
4225;Kutter Philipp;m;Nationalrat;Christlichdemokratische Volkspartei der Schweiz;CVP-Fraktion;0;1159;2529;2;11
4165;Keller-Inhelder Barbara;f;Nationalrat;Schweizerische Volkspartei;Fraktion der Schweizerischen Volkspartei;0;300;528;1;2
4107;Amarelle Cesla;f;Nationalrat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;0;10176;28976;8;42
3905;Schmidt Roberto;m;Nationalrat;Christlichdemokratische Volkspartei der Schweiz;CVP-Fraktion;0;5146;11604;7;29
1116;Burkhalter Didier;m;Bundesrat;FDP.Die Liberalen;;0;52524;150135;8;206
4031;Ingold Maja;f;Nationalrat;Evangelische Volkspartei der Schweiz;CVP-Fraktion;0;4486;8522;7;23
4115;Schwaab Jean Christophe;m;Nationalrat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;0;11837;35939;11;81
4185;Fricker Jonas;m;Nationalrat;Grüne Partei der Schweiz;Grüne Fraktion;0;6577;12932;9;36
519;Walter Hansjörg;m;Nationalrat;Schweizerische Volkspartei;Fraktion der Schweizerischen Volkspartei;0;6443;11336;9;35
4196;Guldimann Tim;m;Nationalrat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;0;3135;6576;7;21
4086;Buttet Yannick;m;Nationalrat;Christlichdemokratische Volkspartei der Schweiz;CVP-Fraktion;0;4033;10420;9;27
4071;Gasche Urs;m;Nationalrat;Bürgerlich-Demokratische Partei Schweiz;Fraktion BD;0;3469;6197;5;16
224;Tschäppät Alexander;m;Nationalrat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;0;2397;5182;8;9
3865;Steiert Jean-François;m;Nationalrat;Sozialdemokratische Partei der Schweiz;Sozialdemokratische Fraktion;0;11007;31583;6;48
3902;Rickli Natalie Simone;f;Nationalrat;Schweizerische Volkspartei;Fraktion der Schweizerischen Volkspartei;0;1061;2832;3;9
3934;Widmer-Schlumpf Eveline;f;Bundesrat;Bürgerlich-Demokratische Partei Schweiz;;0;13492;32920;1;67
1310;Casanova Corina;f;;Christlichdemokratische Volkspartei der Schweiz;;0;307;1056;1;3
